BRAND,PRICE,IMAGE
Apple MacBook,3999,https://alta.ge/images/thumbnails/270/250/detailed/221/113956_1_eguq-zg.jpg?t=1606650533
Asus X515MA-BR414,1399,https://alta.ge/images/thumbnails/270/250/detailed/234/117731_1_fiar-t8.jpg?t=1625948462
Apple MacBook,3999,https://alta.ge/images/thumbnails/270/250/detailed/221/113957_1.jpg?t=1606650784
Acer Aspire,1399,https://alta.ge/images/thumbnails/270/250/detailed/225/115657_1.jpg?t=1611260559
HP 240 G8 (203B6EA),1999,https://alta.ge/images/thumbnails/270/250/detailed/250/125506_1.jpg?t=1649346949
Acer Aspire,1799,https://alta.ge/images/thumbnails/270/250/detailed/239/112718_1_1lem-9j_yhs8-ao_kq2p-f2_3e34-cp_w6cz-d5.jpg?t=1634328947
Asus TUF Gaming,3599,https://alta.ge/images/thumbnails/270/250/detailed/238/121648_1.jpeg?t=1633353404
HP 255 G8 (2W1D4EA),1439,https://alta.ge/images/thumbnails/270/250/detailed/242/125307_1.jpg?t=1638821756
Lenovo V14-ADA,1199,https://alta.ge/images/thumbnails/270/250/detailed/243/113532_1.png?t=1641845878
Asus ROG Flow,8999,https://alta.ge/images/thumbnails/270/250/detailed/233/120473.png?t=1647242996
Lenovo V15,1799,https://alta.ge/images/thumbnails/270/250/detailed/234/114945_clog-w8.png?t=1631737503
Lenovo IdeaPad,1499,https://alta.ge/images/thumbnails/270/250/detailed/245/118912_1_zp6x-dj_us7s-ln_jai1-gr.jpg?t=1646770730
Acer Aspire,1199,https://alta.ge/images/thumbnails/270/250/detailed/243/112718_1_1lem-9j_yhs8-ao_kq2p-f2_3e34-cp.jpg?t=1639032618
Asus VivoBook,1899,https://alta.ge/images/thumbnails/270/250/detailed/243/125156_1.jpg?t=1639733570
Apple MacBook,3999,https://alta.ge/images/thumbnails/270/250/detailed/221/113958_1.jpg?t=1606651373
HP 15-dw1002ur,1599,https://alta.ge/images/thumbnails/270/250/detailed/248/128437_1.jpg?t=1647376208
Acer Aspire,1799,https://alta.ge/images/thumbnails/270/250/detailed/239/123935_1.jpg?t=1634328948
HP 255 G7 (214F5ES),1449,https://alta.ge/images/thumbnails/270/250/detailed/242/116459_1.jpg?t=1638821718
Dell Vostro,2099,https://alta.ge/images/thumbnails/270/250/detailed/223/115200_1.jpg?t=1609335636
